"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","임산부정원수","영유아정원수","임산부실면적","영유아실면적","모유수유실면적","급식시설면적","세탁실면적","목욕실면적","조리원화장실면적","사무실면적","간호사수","간호조무사수","영양사수","취사부수","미화원수","기타인원수","건물층수","지상층수","지하층수",
"207","산후조리업","01_01_04_P","3300000","PHMB120033300024042100002","2003-07-01","","03","폐업","03","폐업","2008-08-06","","","","051-556-0700","","607-833","부산광역시 동래구 온천1동 198번지 11호","부산광역시 동래구 금강로 91 (온천동)","","참젖산후조리원","2011-09-30 16:26:29","I","2018-08-31 23:59:59","","389173.026152186","192858.724691088","17","17","154.52","22.2","8.97","","","","","","2","2","","","","","7","5","",
"208","산후조리업","01_01_04_P","3300000","PHMB120113300024042100001","2011-11-04","","03","폐업","03","폐업","2019-10-29","","","","051-557-0114","","607-834","부산광역시 동래구 온천1동 473번지 1호","부산광역시 동래구 온천장로 13 (온천동)","47715","아름병원산후조리원","2019-10-29 14:00:31","U","2019-10-31 02:40:00","","389206.557066897","192464.130426106","38","38","612.26","67.92","54.07","38.34","11.62","9.18","112.74","12.64","5","15","1","5","2","","12","78","",
"209","산후조리업","01_01_04_P","3310000","PHMB120063310024042100002","2006-12-13","","03","폐업","03","폐업","2014-07-26","","","","","","608-807","부산광역시 남구 대연5동 1745번지 4호","부산광역시 남구 수영로 225-1 (대연동)","608-807","사랑기픈산후조리원","2014-06-25 14:19:42","I","2018-08-31 23:59:59","","390540.304240362","183803.646585695","10","10","11.6","24.13","9.3","20.42","5.75","","24.7","","","","","","","","","","",
"210","산후조리업","01_01_04_P","3310000","PHMB120083310024042100001","2008-03-07","","03","폐업","03","폐업","2016-02-29","","","","051-628-9888","","608-813","부산광역시 남구 대연1동 1751번지 3호","부산광역시 남구 수영로 216 (대연동)","48492","이화산후조리원","2016-02-29 11:59:56","I","2018-08-31 23:59:59","","390431.099113795","183736.286805202","13","13","146","24","7","50","17","","37","13","4","7","","","","","10","9","1",
"211","산후조리업","01_01_04_P","3310000","PHMB120163310024042100001","2016-02-12","","03","폐업","03","폐업","2018-08-06","","","","051-714-5235","","","","부산광역시 남구 수영로 216-2 (대연동)","48492","아마빌레산후조리원","2018-08-06 14:04:19","I","2018-08-31 23:59:59","","390450.577791633","183742.704687247","21","21","328.7","71.4","33.4","57.59","","6","11.68","8.4","4","16","","4","3","1","5","4","1",
"212","산후조리업","01_01_04_P","3370000","PHMB120063370022042100001","2006-12-14","","03","폐업","03","폐업","2015-02-12","","","","867-3660","","611-085","부산광역시 연제구 연산동 1143번지 6호","부산광역시 연제구 월드컵대로 161 (연산동)","","봄엔빛산후조리원","2015-02-12 11:56:53","I","2018-08-31 23:59:59","","389259.479743586","189487.142353927","11","11","","","","","","","","","3","6","0","1","0","0","12","5","",
"213","산후조리업","01_01_04_P","5330000","PHMB120105330023042100001","2010-07-08","","03","폐업","03","폐업","2019-02-28","","","","055-643-9119","","","경상남도 통영시 광도면 죽림리 1565번지 19호 4층","경상남도 통영시 광도면 죽림5로 15, 4층","53013","e좋은산후조리원","2019-02-28 16:54:25","U","2019-03-02 02:40:00","","329670.785885518","155252.621953154","14","14","280.4","27.65","9.84","110.8","","","","","2","2","","1","","","0","","",
"214","산후조리업","01_01_04_P","3470000","PHMB120063470022042100004","2006-12-15","","03","폐업","03","폐업","2014-04-09","2013-09-05","2013-10-31","","053-588-8703","","704-140","대구광역시 달서구 이곡동 1244번지 4호","대구광역시 달서구 이곡공원로 12 (이곡동)","","사임당","2014-04-09 16:42:11","I","2018-08-31 23:59:59","","336207.404560204","262683.670530837","20","20","170.94","41.8","7","35.58","14.4","23.3","30.06","7","2","7","","1","1","","6","5","1",
"215","산후조리업","01_01_04_P","5530000","PHMB120055530021042100001","2005-10-25","","03","폐업","03","폐업","2009-11-02","","","","","","445-390","경기도 화성시 진안동","","","중앙산후조리원","2009-11-18 13:18:27","I","2020-08-05 00:23:26","","","","10","10","","","","","","","","","","","","","","","","","",
"216","산후조리업","01_01_04_P","5530000","PHMB120115530021042100001","2011-06-24","","03","폐업","03","폐업","2012-10-12","","","","","","445-170","경기도 화성시 석우동 42번지 3호","","","동탄제일산후조리원","2012-10-12 18:13:08","I","2020-08-05 00:23:26","","206903.774067044","412707.713028287","9","9","77.95","53.24","21","28","","","73.8","","4","2","","","1","","0","","",
"217","산후조리업","01_01_04_P","5530000","PHMB120115530021042100002","2011-10-06","","03","폐업","03","폐업","2023-03-07","2021-04-13","2023-06-18","","223-5000","","","경기도 화성시 진안동 914번지 5호 8통 904호","경기도 화성시 효행로 1065 (진안동, 나라프라자)","18398","강남퀸즈산후조리원 예송점","2023-03-07 09:33:41","U","2023-03-09 02:40:00","","203779.439628928","412580.781829566","27","27","464.4","80.8","23.6","78.3","22","25","56","14.4","3","8","1","1","1","1","3","3","0",
"218","산후조리업","01_01_04_P","5530000","PHMB120095530021042100002","2009-10-21","","03","폐업","03","폐업","2012-11-30","","","","031-8059-6656","","445-926","경기도 화성시 향남읍 행정리 435번지 1호","","","미래여성 산후조리원","2012-12-03 09:09:48","I","2020-08-05 00:23:26","","192696.36091233","403143.288894752","7","7","109.8","16","6.4","27","5.7","","3.3","","2","3","","1","1","","0","","",
"219","산후조리업","01_01_04_P","3070000","PHMB119993070034042100001","1999-09-30","","03","폐업","03","폐업","2009-05-04","","","","924-3100","","136-033","서울특별시 성북구 동소문동3가 27번지","서울특별시 성북구 동소문로 40 (동소문동3가)","","이제 산후조리원","2009-05-04 17:55:24","I","2018-08-31 23:59:59","","200869.843675978","454210.643551283","14","19","55.03","125.36","9.9","16.5","13.5","4.95","16.5","6.6","3","4","","2","2","1","11","9","2",
"220","산후조리업","01_01_04_P","3550000","PHMB120073550020042100001","2007-02-02","","03","폐업","03","폐업","2021-09-17","2021-05-01","2021-12-31","","","","407-050","인천광역시 계양구 계산동 1062번지 하이베라스 A동 3층호","인천광역시 계양구 계산새로 71, A동 3층호 (계산동,하이베라스)","21060","HMB산후조리원","2021-09-30 16:39:27","U","2021-10-02 02:40:00","","176607.326609066","448516.12033842","24","24","0","56","0","0","0","0","0","0","3","5","0","1","2","4","15","3","0",
"221","산후조리업","01_01_04_P","3550000","PHMB120073550020042100002","2007-02-14","","03","폐업","03","폐업","2009-09-16","","","","","","407-811","인천광역시 계양구 병방동 132번지 7호 4층","인천광역시 계양구 장제로 910 (병방동,4층)","","준산후조리원","2009-09-16 10:37:55","I","2018-08-31 23:59:59","","177057.215988838","449517.41479439","10","10","","","","","","","","","2","2","","","","1","","","",
"222","산후조리업","01_01_04_P","3550000","PHMB120093550020042100001","2009-09-16","","03","폐업","03","폐업","2017-12-08","","","","554-0053","","407-320","인천광역시 계양구 병방동 132번지 1호","인천광역시 계양구 장제로 912 (병방동)","","준산후조리원","2017-12-11 15:35:52","I","2018-08-31 23:59:59","","177065.676496463","449532.122584552","15","15","347.79","27.71","","33.61","4.68","","","10.69","3","8","","2","1","","6","0","1",
"223","산후조리업","01_01_04_P","4680000","PHMB120054680066042100001","2005-07-09","","03","폐업","03","폐업","2023-09-01","","","","063-837-5533","","570-969","전라북도 익산시 모현동1가 708번지 1호","전라북도 익산시 배산로 66 (모현동1가)","","미래와여성","2023-08-31 16:09:24","U","2023-09-02 02:40:00","","194384.812629335","271504.803495893","5","5","0","14","0","0","0","0","0","0","3","3","0","0","0","0","6","5","0",
"224","산후조리업","01_01_04_P","4680000","PHMB120084680066042100001","2008-10-01","","03","폐업","03","폐업","2020-05-22","","","","063-840-7600","","570-957","전라북도 익산시 남중동 536번지 9호","전라북도 익산시 동서로 231 (남중동)","","제일맘","2020-05-22 15:41:33","U","2020-05-24 02:40:00","","196299.05633945","272570.594635446","11","11","178.05","21.48","9.24","","","","4.55","9.79","3","6","","","1","","7","","",
"225","산후조리업","01_01_04_P","4680000","PHMB120124680066042100001","2012-10-26","","03","폐업","03","폐업","2018-03-09","","","","063-831-5200","","570-980","전라북도 익산시 영등동 260번지 24호 지상(2층)","전라북도 익산시 동서로 354 (영등동)","54628","영등한방산후조리원","2018-03-09 14:59:15","I","2018-08-31 23:59:59","","197448.374791083","272176.092622836","14","14","182","27.4","9.6","18","9","","9","","3","5","","2","1","1","6","6","0",
"226","산후조리업","01_01_04_P","3550000","PHMB120083550020042100001","2008-08-08","","03","폐업","03","폐업","2017-09-21","","","","553-7575","","407-050","인천광역시 계양구 계산동 1080번지 2호 미소지음빌딩 6층,7층","인천광역시 계양구 오조산로 53 (계산동,미소지음빌딩 6층,7층)","","연세차산후조리원","2017-10-10 15:53:38","I","2018-08-31 23:59:59","","176796.663536397","448179.632664956","18","18","","83.16","","","","","","","2","4","","1","1","3","9","67","",
"227","산후조리업","01_01_04_P","3550000","PHMB120063550020042100001","2006-12-20","","03","폐업","03","폐업","2022-05-02","","","","","","","인천광역시 계양구 계산동 1080번지 2호","인천광역시 계양구 오조산로 53 (계산동, 연세차메디칼센터)","21069","엄마손 산후조리원","2022-05-02 14:07:18","U","2022-05-04 02:40:00","","176796.663536397","448179.632664956","10","10","40.06","34.12","15.66","47.47","5.7","0","0","0","3","4","0","1","1","0","2","2","0",
"228","산후조리업","01_01_04_P","3670000","PHMB120063670022042100001","2006-12-08","","03","폐업","03","폐업","2013-08-20","2013-05-09","2013-11-08","","042-825-9009","","305-301","대전광역시 유성구 봉명동 604번지 1호 7,8층","대전광역시 유성구 대학로 61 (봉명동,7,8층)","","퀸산후조리원","2017-08-30 09:46:15","I","2018-08-31 23:59:59","","230721.478762519","317655.265397445","16","16","210","42.8","23","52","24","5","5","16","4","6","1","3","3","2","2","2","0",
"229","산후조리업","01_01_04_P","3670000","PHMB120063670022042100002","2006-12-08","","03","폐업","03","폐업","2023-05-26","","","","042-867-7576","","","대전광역시 유성구 관평동 810번지","대전광역시 유성구 테크노중앙로 40, 8층 (관평동, 남일프라자)","34017","아이미래 테크노산후조리원","2023-06-13 17:54:21","U","2023-06-15 02:40:00","","234895.439680006","325144.845927096","12","12","179.86","26.25","9.66","0","0","0","0","9.44","3","2","0","0","1","0","8","8","0",
"230","산후조리업","01_01_04_P","3670000","PHMB120063670022042100003","2006-12-08","","03","폐업","03","폐업","2007-06-26","","","","","","","대전광역시 유성구 송강동 171번지 3호","대전광역시 유성구 구즉로58번길 31-12, 4층 (송강동)","34009","대전대덕산후조리원","2017-07-31 14:39:46","I","2018-08-31 23:59:59","","234649.496727937","325995.727060676","7","7","85","","","10","10","","20","","2","1","","1","","","","","",
"231","산후조리업","01_01_04_P","3670000","PHMB120073670022042100001","2007-05-01","","03","폐업","03","폐업","2018-06-22","","","","042-826-3585","","305-150","대전광역시 유성구 반석동 664번지 3호 미즈ELS여성의원 4층","대전광역시 유성구 북유성대로 336 (반석동,미즈ELS여성의원 4층)","","미즈ELS산후조리원","2018-06-22 16:46:25","I","2018-08-31 23:59:59","","228049.438214687","321572.497041437","14","14","610","218.22","6.25","20","30","","","24","2","3","1","1","1","2","4","4","0",
"232","산후조리업","01_01_04_P","3670000","PHMB120083670022042100001","2006-12-08","","03","폐업","03","폐업","2017-11-28","","","","042-535-1578","","305-330","대전광역시 유성구 지족동 901번지 2호 금강프라자 4층","대전광역시 유성구 노은로 178 (지족동,금강프라자 4층)","","노은산후조리원","2017-11-28 13:54:37","I","2018-08-31 23:59:59","","228510.464992451","319461.44599483","10","10","10.14","19.71","8.51","11.18","6.76","3.63","1.95","12.34","2","4","0","2","1","1","4","1","0",
"233","산후조리업","01_01_04_P","3670000","PHMB120083670022042100002","2008-11-06","","03","폐업","03","폐업","2013-08-30","","","","042-544-3200","","305-252","대전광역시 유성구 원내동 102번지 3호 2,3,4층","대전광역시 유성구 원내로 57 (원내동,2,3,4층)","","미즈모아산후조리원","2013-09-02 09:26:33","I","2018-08-31 23:59:59","","228847.080904485","311076.332989757","19","19","219.2","33.4","10","40.4","0","","44.5","5.8","2","5","0","1","1","0","4","3","0",
"234","산후조리업","01_01_04_P","3670000","PHMB120133670022042100001","2013-06-28","","03","폐업","03","폐업","2023-09-14","","","","042-820-2850","","305-315","대전광역시 유성구 원신흥동 558번지 4호","대전광역시 유성구 원신흥남로28번길 88 (원신흥동)","","도안누리산후조리원","2023-09-14 10:36:51","U","2023-09-16 02:40:00","","230502.647604712","314694.774537862","18","20","319.34","37.89","15.06","0","7.56","0","66.77","7.72","3","8","0","1","2","0","0","0","0",
"235","산후조리업","01_01_04_P","3660000","PHMB120133660023042100001","2013-08-01","","03","폐업","03","폐업","2021-03-01","2020-02-27","2020-03-26","","","","","","대전광역시 서구 문정로48번길 58, 7층 (탄방동)","35262","벨라쥬산후조리원","2021-02-24 11:12:13","U","2021-02-26 02:40:00","","234417.985953602","315974.386795309","14","16","292.89","45.24","11.46","0","18.64","","0","10.84","4","16","0","2","6","18","2","2","",
"236","산후조리업","01_01_04_P","3660000","PHMB120133660023042100002","2013-10-15","","03","폐업","03","폐업","2019-10-21","2019-09-24","2020-09-23","","042-486-3522","","","","대전광역시 서구 문정로 88 (탄방동)","35263","세란산후조리원","2019-10-21 17:09:29","U","2019-10-23 02:40:00","","234844.830453929","316249.102442558","14","14","219.41","41.53","16.73","","","","43.02","10.24","5","12","","","2","","2","2","0",
"237","산후조리업","01_01_04_P","3660000","PHMB120143660023042100001","2014-04-28","","03","폐업","03","폐업","2016-08-31","","","","042-472-4832","","","","대전광역시 서구 문정로2번길 95 (탄방동)","35262","미즈원산후조리원","2016-10-10 17:38:24","I","2018-08-31 23:59:59","","234536.198054348","315901.834098604","8","10","185.2","37.7","3.2","40.8","8.6","7.4","2.5","10","2","8","0","2","2","1","2","2","",
"238","산후조리업","01_01_04_P","3290000","PHMB120063290024042100001","2006-12-06","","03","폐업","03","폐업","2016-05-06","","","","","","614-111","부산광역시 부산진구 개금1동 182번지 9호","부산광역시 부산진구 가야대로 472 (개금동)","","미래산후조리원(주)","2016-05-04 13:16:51","I","2018-08-31 23:59:59","","384327.14891433","185623.185943799","27","27","","","","","","","","","4","8","1","","","","10","7","",
"239","산후조리업","01_01_04_P","5670000","PHMB120105280165042100001","2010-03-23","","03","폐업","03","폐업","2022-01-04","","","","248-3333","","630-041","경상남도 마산시 회원1동 62번지 66호 (5층)","경상남도 창원시 마산회원구 3·15대로 485 (회원동)","51297","중앙자모 산후조리원","2022-01-04 15:00:18","U","2022-01-06 02:40:00","","343306.850800878","192065.037278943","10","10","175.84","27.5","2.5","0","0","0","0","0","3","4","0","0","0","0","5","4","1",
"240","산후조리업","01_01_04_P","5670000","PHMB120125670062042100002","2012-03-12","","03","폐업","03","폐업","2021-04-09","","","","","","641-809","경상남도 창원시 의창구 도계동 333번지 16호","경상남도 창원시 의창구 원이대로 53 (도계동)","51165","미래산후조리원","2021-04-09 15:02:58","I","2021-07-02 00:23:01","","348665.46014093","196597.782207915","13","13","210.04","30.5","24.4","0","0","","","","2","5","0","0","0","0","6","4","2",
"241","산후조리업","01_01_04_P","5670000","PHMB120065270048042100001","2006-12-06","","03","폐업","03","폐업","2020-05-18","2010-12-01","2010-12-31","","055-251-5811","","","경상남도 창원시 의창구 팔용동 42번지 1호 웰빙프라자","경상남도 창원시 의창구 평산로 96, 웰빙프라자 302호 (팔용동)","51389","로즈맘산후조리원","2020-05-19 10:36:04","I","2021-07-02 00:23:01","","347343.909179975","195902.597271493","12","12","180","38.76","19.29","44","6","","","3","2","5","","2","1","","3","3","",
"242","산후조리업","01_01_04_P","5670000","PHMB120065270048042100004","2006-12-07","","03","폐업","03","폐업","2021-04-02","2012-05-21","2012-09-20","","055-283-3055","","","경상남도 창원시 성산구 대방동 346-15","경상남도 창원시 성산구 대암로145번길 11-27 (대방동)","51469","한마음산후조리원","2021-04-02 11:39:34","I","2021-07-02 00:23:01","","355643.855943135","191905.035314352","7","7","7.98","22.42","5.5","23.5","16","","","6.5","2","4","","1","1","","1","1","",
"243","산후조리업","01_01_04_P","5670000","PHMB120065270048042100005","2006-12-07","","03","폐업","03","폐업","2008-07-23","","","","055-252-3322","","641-490","경상남도 창원시 동정동 540번지  엘르메디산부인과의원 6층","","","예손산후조리원","2010-07-05 00:00:00","I","2021-07-02 00:23:01","","","","7","7","15","24.08","","","10","","","","2","3","","","","","6","6","",
"244","산후조리업","01_01_04_P","5670000","PHMB120065270048042100006","2006-12-08","","03","폐업","03","폐업","2013-11-21","","","","055-264-7084","","641-757","경상남도 창원시 대방동 358번지 55통 6반 대방대동아파트 102동 2009호","","","아람산후조리원","2013-11-22 09:43:15","I","2021-07-02 00:23:01","","","","10","10","122.3","26.6","21.3","43.9","4.1","","","5","2","4","","2","1","","7","5","",
"245","산후조리업","01_01_04_P","5670000","PHMB120065280165042100001","2006-11-25","","03","폐업","03","폐업","2009-09-03","","","","","","631-480","경상남도 마산시 산호동 25번지 65호","","","이제한방산후조리원","2010-07-05 00:00:00","I","2021-07-02 00:23:01","","","","10","10","9","6","0","0","0","","","","2","3","1","1","","","","","",
"246","산후조리업","01_01_04_P","5670000","PHMB120065280165042100002","2006-12-18","","03","폐업","03","폐업","2012-03-02","2011-11-17","2012-02-29","","","","630-852","경상남도 마산시 내서읍 삼계리 26번지 6호 7층","","","서현산후조리원","2012-03-08 16:26:47","I","2021-07-02 00:23:01","","","","5","5","50.07","","10","60","5",".8","19.55","90","2","","","1","1","","9","8","1",
"247","산후조리업","01_01_04_P","5670000","PHMB120065280165042100003","2006-12-18","","03","폐업","03","폐업","2009-07-09","","","","","","630-809","경상남도 마산시 양덕1동 51번지 5호","","","엄마손산후조리원","2010-07-05 00:00:00","I","2021-07-02 00:23:01","","","","10","10","","","","","","","","","","","","","","","","","",
"248","산후조리업","01_01_04_P","5670000","PHMB120065280165042100004","2006-12-18","","03","폐업","03","폐업","2019-10-02","","","","055-232-0800","","630-852","경상남도 마산시 내서읍 삼계리 24번지 7호 4층","경상남도 창원시 마산회원구 내서읍 경남대로 937","51236","고운맘산후조리원","2019-10-02 10:40:59","I","2021-07-02 00:23:01","","336851.383144244","193759.343577148","8","8","92.14","35.22","16.32","27","6.8","18.24","2","5.76","3","4","","","","","5","4","1",
"249","산후조리업","01_01_04_P","5670000","PHMB120065280165042100005","2006-12-18","","03","폐업","03","폐업","2022-10-12","","","","055-221-3520","","630-815","경상남도 창원시 마산회원구 합성1동 101번지 8호","경상남도 창원시 마산회원구 3·15대로 727 (합성동)","51210","엠앤비산후조리원","2022-10-12 15:39:49","U","2022-10-14 02:40:00","","343859.782414289","194252.674143929","13","13","213.6","23","6.5","36.9","10.4","0","0","8","2","6","0","2","0","0","11","11","0",
"250","산후조리업","01_01_04_P","5670000","PHMB120065670071042100001","2006-12-04","","03","폐업","03","폐업","2013-04-30","","","","055-542-0371","","","","경상남도 창원시 진해구 진해대로776번길 31, 202호 (이동, 일루스빌)","645-808","세이레 산후조리원","2013-06-26 16:21:55","I","2021-07-02 00:23:01","","354662.178225792","185394.888633439","11","11","66.61","23.73","11.1","24.19","4.95","","","","2","2","","","","1","11","2","",
"251","산후조리업","01_01_04_P","5670000","PHMB120075280165042100001","2007-05-14","","03","폐업","03","폐업","2022-04-22","","","","055-221-3777","","631-394","경상남도 마산시 월남동4가 4번지 1호 6층","경상남도 창원시 마산합포구 3·15대로 32 (월남동4가)","51743","미래산부인과의원","2022-04-21 17:27:43","U","2022-04-23 02:40:00","","341995.373718831","188165.021576284","5","5","16.8","15.67","5.76","10.8","17.1","9","2.7","17","1","3","0","0","0","0","7","6","1",
"252","산후조리업","01_01_04_P","5670000","PHMB120085270048042100001","2008-09-19","","03","폐업","03","폐업","2015-06-10","","","","055-253-2285","","641-490","경상남도 창원시 동정동 540번지  엘르메디산부인과의원 6층","","","엘르산후조리원","2015-05-07 16:18:26","I","2021-07-02 00:23:01","","","","13","13","127.2","24.93","7.25","","","","","5","2","5","","","1","2","6","6","",
"253","산후조리업","01_01_04_P","5670000","PHMB120095270048042100001","2009-01-12","","03","폐업","03","폐업","2014-10-14","2014-06-09","2014-09-30","","284-4666","","641-832","경상남도 창원시 상남동 36번지 2호 SM빌딩 3층","경상남도 창원시 성산구 마디미동로 54 (상남동)","642-832","행복을 주는 산후조리원","2014-10-14 15:42:47","I","2021-07-02 00:23:01","","353201.183713655","192421.588017453","14","14","236.2","30.9","3.9","32.2","3.9","11.1","3.3","5.2","2","5","","2","1","","8","6","2",
"254","산후조리업","01_01_04_P","5670000","PHMB120095270048042100003","2009-08-25","","03","폐업","03","폐업","2012-02-23","","","","055-276-9233","","641-809","경상남도 창원시 도계동 333번지 14호  외1필지","","","시엘산후조리원","2012-02-23 18:40:37","I","2021-07-02 00:23:01","","","","7","7","123.72","0","0","0","0","53.21","41.76","3.05","2","4","","","1","1","3","3","",
"255","산후조리업","01_01_04_P","3740000","PHMB120143740033042100001","2014-05-16","","03","폐업","03","폐업","2019-10-30","","","","031-307-0029","","","경기도 수원시 팔달구 우만동 81번지 7호","경기도 수원시 팔달구  중부대로  251 (우만동)","","하늘꿈 산후조리원","2019-10-28 15:55:34","I","2020-08-05 00:23:26","","203793.831007462","419248.757353931","9","9","79.2","17.5","7.2","25.4","6.9","18.5","6.5","6","3","6","","1","1","","2","2","",
"256","산후조리업","01_01_04_P","3740000","PHMB120143740033042100002","2014-11-03","","03","폐업","03","폐업","2020-08-28","","","","","","","경기도 수원시 팔달구 화서동 644번지 3호","경기도 수원시 팔달구  덕영대로  691-12 (화서동)","","수원제일리젠산후조리원","2020-08-26 20:36:04","U","2020-08-28 02:40:00","","199105.785907311","420349.014309799","5","5","107.9","15.2","18.3","","","","","","3","1","","","1","","6","6","",
"257","산후조리업","01_01_04_P","3860000","PHMB120073860051042100001","2007-01-30","","03","폐업","03","폐업","2009-04-13","","","","","","421-817","경기도 부천시 원종동 371-1번지","경기도 부천시 소사로 698  (원종동)","421-822","정광채산후조리원","2009-04-20 16:19:35","I","2018-08-31 23:59:59","","182706.014214039","446242.730408432","5","5","11.91","25.44","7.99","31.65","8.33","3.99","1.78","8.7","2","2","","1","1","","","","",
"258","산후조리업","01_01_04_P","3860000","PHMB120113860272042100001","2011-09-14","","03","폐업","03","폐업","2020-12-31","","","","032-329-9400","","420-033","경기도 부천시 상동 538-3번지 대신프라자 6층","경기도 부천시 송내대로265번길 19  (상동,대신프라자 6층)","","한아름산후조리원 부천직영","2020-12-31 19:40:37","U","2021-01-02 02:40:00","","178522.440963093","444945.755024196","15","15","308.42","39.22","14.02","40.36","17.16","","","14.98","3","7","","1","1","1","8","6","2",
"259","산후조리업","01_01_04_P","3860000","PHMB120113860273042100001","2011-06-23","","03","폐업","03","폐업","2020-05-08","","","","032-341-3567","","422-803","경기도 부천시 괴안동 113-8번지 역곡대덕빌딩 4층 401-403호","경기도 부천시 경인로 511 (괴안동,역곡대덕빌딩 4층 401-403호)","","마미산후조리원","2020-05-13 16:56:29","U","2020-05-15 02:40:00","","183293.834836893","442516.967580181","12","12","154.84","24.52","5.3","17.8","5.4","","","7.7","2","6","0","1","1","0","1","1","",
"260","산후조리업","01_01_04_P","3740000","PHMB120073740033042100001","2007-05-17","","03","폐업","03","폐업","2016-04-21","","","","0312173588","","442-819","경기도 수원시 팔달구 우만1동 561번지 15호 상안빌딩 8,9층","경기도 수원시 팔달구 중부대로 143, 8,9층 (우만동, 상안빌딩)","16240","올리브산후조리원","2016-04-25 09:38:08","I","2020-08-05 00:23:26","","202755.315536284","419640.515447339","16","16","169.6","49.44","5.1","29.9","4.7","38.2","38.2","5.2","3","6","","2","1","","9","8","0",
"261","산후조리업","01_01_04_P","3740000","PHMB120073740033042100002","2007-11-01","","03","폐업","03","폐업","2014-04-29","2013-03-01","2014-08-31","","031-898-9500","","442-827","경기도 수원시 팔달구 인계동 243번지 3호","경기도 수원시 팔달구 경수대로565번길 51 (인계동)","442-827","(주)아이모산후조리원","2014-04-29 16:21:00","I","2020-08-05 00:23:26","","202353.306831389","419308.871028173","60","77","1574.8","132.3","32.8","299.4","44.73","93.6","73.1","51.3","8","12","1","4","7","10","8","7","1",
"262","산후조리업","01_01_04_P","3740000","PHMB120043740106042100001","2004-11-01","","03","폐업","03","폐업","2010-01-25","","","","031-211-0008","","443-380","경기도 수원시 영통구 원천동 96번지 7호","경기도 수원시 영통구 중부대로 333 (원천동)","","수정산후조리원","2010-01-26 09:09:37","I","2020-08-05 00:23:26","","204554.433104162","419069.802112204","7","7","78","0","0","66","4.18","","21.12","13","2","2","1","2","","","5","45","",
"263","산후조리업","01_01_04_P","3740000","PHMB120063740032042100001","2006-12-15","","03","폐업","03","폐업","2011-01-18","2010-08-16","2011-08-15","","223-1162","","441-880","경기도 수원시 권선구 세류2동 1128번지 2호","경기도 수원시 권선구 덕영대로 1156 (세류동)","","중앙산후조리원","2011-01-18 14:01:15","I","2020-08-05 00:23:26","","201427.80779342","416489.531821272","14","14","15.84","31.68","15.84","47.25","15.84","4","12.17","","2","7","","5","2","1","6","","",
"264","산후조리업","01_01_04_P","3740000","PHMB120063740033042100001","2006-12-13","","03","폐업","03","폐업","2013-11-27","2013-10-30","2013-11-15","","","","442-816","경기도 수원시 팔달구 우만2동 81번지 7호","경기도 수원시 팔달구 중부대로 251 (우만동)","442-816","수원산후조리원","2013-11-27 16:22:53","I","2020-08-05 00:23:26","","203793.831007462","419248.757353931","15","15","150.99","29.13","30.6","25.95","3.84","3.84","8.36","6.4","2","9","","1","1","","6","2","0",
"265","산후조리업","01_01_04_P","3740000","PHMB120063740033042100002","2006-12-08","","03","폐업","03","폐업","2011-08-03","","","","","","442-870","경기도 수원시 팔달구 화서2동 644번지 3호","경기도 수원시 팔달구 덕영대로 691-12 (화서동)","","수원제일산후조리원","2011-08-03 17:39:00","I","2020-08-05 00:23:26","","199105.785907311","420349.014309799","9","9","119.34","23.61","14.19","","","24.3","24.3","","2","4","","","2","1","6","3","",
"266","산후조리업","01_01_04_P","3740000","PHMB120073740032042100001","2007-12-17","","03","폐업","03","폐업","2010-04-28","2009-10-29","2010-10-29","","031-278-1105","","441-819","경기도 수원시 권선구 구운동 921번지 3호","경기도 수원시 권선구 수인로 277 (구운동)","441-819","CCJ중앙산후조리원","2010-04-28 13:16:22","I","2020-08-05 00:23:26","","197460.717613644","420003.082917868","11","11","17.95","18.91","9.3","42.7","16.01","3.24","3.24","7.26","2","7","","3","2","1","6","","",
"267","산후조리업","01_01_04_P","3740000","PHMB120063740106042100001","2006-03-01","","03","폐업","03","폐업","2015-10-14","","","","031-204-9700","","443-471","경기도 수원시 영통구 영통1동 1037번지 10호","경기도 수원시 영통구 반달로 106 (영통동)","","삼성엘림산후조리원","2015-10-14 13:50:59","I","2020-08-05 00:23:26","","206780.052160054","416775.86218981","18","18","217.5","38.94","7.59","9.14","6.93","18.4","18","5","3","9","","2","1","1","4","4","",
"268","산후조리업","01_01_04_P","3740000","PHMB120063740106042100004","2006-12-05","","03","폐업","03","폐업","2012-06-18","","","","","","443-270","경기도 수원시 영통구 광교동 537번지 2호","","","숲사랑 산후조리원","2012-06-18 15:54:02","I","2020-08-05 00:23:26","","","","20","20","355","40.5","27","115","14","15","50","74","7","5","0","3","2","3","6","5","1",
